timestamp,open,high,low,close,size,buy_size,sell_size
2025-05-27 00:00:00,109382.3,109411.9,109340.1,109340.1,11.114,5.822,5.292
2025-05-27 00:01:00,109340.1,109369.8,109340,109369.7,6.391,4.476,1.915
2025-05-27 00:02:00,109369.8,109369.8,109310,109369.2,33.494,6.834,26.66
2025-05-27 00:03:00,109369.2,109402.4,109311.2,109311.2,58.843,19.243,39.6
2025-05-27 00:04:00,109311.3,109334,109297.7,109303.8,12.984,1.714,11.27
2025-05-27 00:05:00,109303.9,109374.6,109303.9,109370.3,10.5,8.206,2.294
2025-05-27 00:06:00,109370.2,109370.2,109300,109334.2,8.881,2.301,6.58
2025-05-27 00:07:00,109334.2,109360,109286.4,109360,13.816,4.308,9.508
2025-05-27 00:08:00,109364.9,109381.9,109310,109349.8,6.984,3.542,3.442
2025-05-27 00:09:00,109349.8,109399.9,109349.8,109399.9,5.7,4.652,1.048
2025-05-27 00:10:00,109399.9,109399.9,109348.3,109399.7,24.575,18.362,6.213
2025-05-27 00:11:00,109399.7,109459.2,109399.7,109443.3,26.891,21.156,5.735
2025-05-27 00:12:00,109443.3,109462.1,109430,109443.5,18.897,11.081,7.816
2025-05-27 00:13:00,109443.6,109443.6,109434.8,109434.9,4.551,2.533,2.018
2025-05-27 00:14:00,109434.9,109475.3,109434.8,109462.4,45.525,11.262,34.263
2025-05-27 00:15:00,109462.3,109555.5,109462.3,109526,200.049,154.628,45.421
2025-05-27 00:16:00,109526.1,109577.7,109515.1,109568.2,113.71,105.025,8.685
2025-05-27 00:17:00,109568.2,109607.4,109568.2,109589.9,63.428,53.467,9.961
2025-05-27 00:18:00,109590,109656.9,109503,109510.4,371.095,241.58,129.515
2025-05-27 00:19:00,109510.4,109510.5,109429,109451.7,95.443,48.562,46.881
2025-05-27 00:20:00,109451.8,109451.8,109314.3,109314.4,86.244,4.023,82.221
2025-05-27 00:21:00,109314.3,109336.5,109272.6,109323,76.682,25.887,50.795
2025-05-27 00:22:00,109323,109323,109256.5,109256.5,34.844,10.403,24.441
2025-05-27 00:23:00,109256.6,109424.5,109256.5,109387,207.754,200.139,7.615
2025-05-27 00:24:00,109387,109434.4,109367.9,109392,152.605,137.295,15.31
2025-05-27 00:25:00,109392,109422.7,109371.2,109371.2,56.342,53.097,3.245
2025-05-27 00:26:00,109371.2,109392.2,109358.6,109378,5.773,3.592,2.181
2025-05-27 00:27:00,109378,109394.9,109332.8,109354.9,11.485,8.118,3.367
2025-05-27 00:28:00,109355,109355,109335.8,109343.9,4.561,0.782,3.779
2025-05-27 00:29:00,109344,109366.1,109343.9,109345.2,6.668,3.5,3.168
2025-05-27 00:30:00,109345.2,109356.2,109291.4,109292,34.709,1.309,33.4
2025-05-27 00:31:00,109292,109319.8,109290,109319.7,8.055,3.543,4.512
2025-05-27 00:32:00,109319.8,109328.3,109279.4,109282.8,15.311,2.472,12.839
2025-05-27 00:33:00,109282.8,109299.9,109282.8,109283,10.663,8.351,2.312
2025-05-27 00:34:00,109283.1,109291.5,109266.7,109291.2,13.135,3.101,10.034
2025-05-27 00:35:00,109291.1,109292.9,109276.4,109280.8,16.42,2.035,14.385
2025-05-27 00:36:00,109280.9,109288.2,109250,109250.1,13.505,1.587,11.918
2025-05-27 00:37:00,109250,109266.6,109250,109266.6,6.866,3.805,3.061
2025-05-27 00:38:00,109266.6,109350,109266.5,109339.4,22.424,18.854,3.57
2025-05-27 00:39:00,109339.4,109346.8,109253.7,109253.8,7.49,3.598,3.892
2025-05-27 00:40:00,109253.8,109267.9,109200,109200,31.193,3.479,27.714
2025-05-27 00:41:00,109200.1,109224,109200,109216.8,11.123,8.349,2.774
2025-05-27 00:42:00,109216.8,109279.6,109216.8,109260.1,25.766,15.746,10.02
2025-05-27 00:43:00,109260,109287.3,109230.1,109230.1,17.816,4.248,13.568
2025-05-27 00:44:00,109230.1,109264.5,109230.1,109241.8,9.554,5.635,3.919
2025-05-27 00:45:00,109241.8,109248.6,109206.4,109248.6,13.057,9.078,3.979
